time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
11.08.05 16:00,1.915711,1.92442,1.968247,2.028621,2.090148,2.137175,2.163584,2.15923,2.128466,2.076802,2.012357,1.955184,1.917148,1.92122,1.984511,2.132821,2.405666,2.861376,3.575995,4.60628,5.895187,6.806554,6.673097,5.590372,4.342188,3.386731,2.736839,2.32903,2.090148,1.963893,1.310143,1.290156,1.297651,1.322636,1.350951,1.373146,1.385638,1.384535,1.368982,1.343727,1.315411,1.29459,1.290426,1.318472,1.394237,1.542749,1.802566,2.244167,2.993077,4.225272,6.017713,7.758086,7.474933,5.595897,3.888273,2.7871,2.12343,1.729549,1.500837,1.373146,1.165522,1.122249,1.114333,1.123812,1.138032,1.143079,1.141515,1.127296,1.114333,1.117816,1.151302,1.245457,1.44007,1.826476,2.576846,4.096851,7.216232,399.759585,77.454263,4.60708,2.826131,1.949377,1.505479,1.278636,0.870016,0.817955,0.797355,0.790299,0.790299,0.790562,0.790299,0.78922,0.793288,0.810899,0.854825,0.943754,1.105608,1.405727,1.9645,3.005846,4.863763,128.938048,59.886242,3.333094,2.141545,1.501713,1.157669,0.971411,0.862608,0.785981,0.752803,0.742531,0.73852,0.743946,0.761382,0.806291,0.90149,1.093626,1.460742,2.139792,3.117909,3.562789,2.77996,1.870751,1.31064,1.01271,0.890623,0.788825,0.752918,0.749646,0.7811,0.872814,1.078167,1.471111,1.958705,1.99608,1.525114,1.112605,0.93842,0.824949,0.856811,1.047044,1.327693,1.218775,0.74772
11.08.05 17:00,1.747066,1.691047,1.668993,1.660566,1.664638,1.669275,1.677984,1.682338,1.677984,1.673629,1.669275,1.664638,1.660566,1.673347,1.704111,1.773193,1.908157,2.163584,2.632639,3.476431,4.899552,7.070646,9.093918,8.638009,6.379825,4.423507,3.178331,2.466912,2.072448,1.859975,1.318472,1.265171,1.239916,1.227424,1.227424,1.227424,1.231588,1.231588,1.231588,1.231588,1.227424,1.227424,1.231588,1.244081,1.277664,1.343727,1.468628,1.704294,2.143417,2.960867,4.47451,7.252987,174.391408,108.944477,6.267563,3.935404,2.666363,1.986036,1.621304,1.422282,1.199008,1.132036,1.100113,1.090326,1.085587,1.085587,1.085587,1.085587,1.085587,1.090326,1.104853,1.141823,1.226191,1.401537,1.7655,2.525657,4.106331,53.808874,162.679409,6.322082,3.628946,2.294074,1.655562,1.345915,0.883559,0.82609,0.797355,0.785153,0.778097,0.776755,0.776755,0.777019,0.778097,0.786231,0.801686,0.837214,0.902818,1.032948,1.275333,1.722115,2.490735,3.52775,4.033648,3.28809,2.27981,1.59471,1.202936,0.993089,0.845173,0.777402,0.746821,0.731078,0.726789,0.726789,0.733953,0.75111,0.785981,0.862608,1.016999,1.307487,1.764098,2.191542,2.139792,1.677477,1.246881,0.982407,0.829183,0.752918,0.722644,0.71374,0.722933,0.757371,0.842828,1.015259,1.273147,1.414123,1.244965,0.989726,0.824949,0.748187,0.751237,0.833758,0.984232,0.978178,0.620387
11.08.05 18:00,1.378729,1.30122,1.261465,1.236492,1.223147,1.214438,1.209801,1.205447,1.204292,1.205447,1.205729,1.210083,1.218792,1.230701,1.248402,1.279165,1.336056,1.443456,1.644302,2.030057,2.766167,4.139694,6.629552,58.308147,31.975266,5.163643,3.325204,2.327875,1.799884,1.525602,1.165525,1.098358,1.057551,1.03646,1.023967,1.015639,1.011205,1.007311,1.007041,1.007041,1.008414,1.012579,1.019803,1.028401,1.045058,1.074477,1.127778,1.22326,1.405625,1.746206,2.388785,3.58652,5.765163,81.044714,36.246718,4.47451,2.877044,2.007127,1.543019,1.297651,1.067884,0.991432,0.953206,0.933939,0.92446,0.916543,0.91498,0.91498,0.916236,0.921283,0.930763,0.948466,0.981952,1.048924,1.189221,1.468816,2.029313,3.053923,4.416927,4.611513,3.303209,2.18096,1.548445,1.226191,0.749362,0.697301,0.671556,0.656101,0.647967,0.643899,0.639832,0.639832,0.643899,0.647967,0.655023,0.668567,0.691892,0.73716,0.822022,0.975478,1.231671,1.604186,1.956365,1.993235,1.676847,1.295933,1.012611,0.842623,0.670472,0.619858,0.598134,0.584988,0.580698,0.576687,0.580698,0.585266,0.598134,0.624148,0.67905,0.773113,0.934668,1.11964,1.207999,1.102205,0.914358,0.759967,0.611942,0.568311,0.549034,0.54131,0.544293,0.554666,0.581668,0.641927,0.73629,0.815827,0.793277,0.695931,0.576456,0.539453,0.534901,0.5613,0.620766,0.634717,0.421014
11.08.05 19:00,0.163851,0.15912,0.154737,0.150934,0.147422,0.144461,0.141848,0.139643,0.137873,0.136567,0.137437,0.139179,0.141385,0.14391,0.146958,0.150035,0.153867,0.157842,0.16266,0.168234,0.174243,0.180859,0.18861,0.19726,0.205503,0.199058,0.19038,0.182601,0.175577,0.16954,0.169291,0.164546,0.160048,0.156384,0.153026,0.150084,0.147558,0.145587,0.143921,0.143367,0.143783,0.14517,0.147142,0.149667,0.152193,0.155551,0.159216,0.163407,0.16832,0.173371,0.179118,0.185724,0.192441,0.19902,0.202684,0.200296,0.194106,0.18739,0.180783,0.174621,0.20805,0.201479,0.195412,0.19061,0.186345,0.183122,0.180721,0.179299,0.179773,0.181351,0.1841,0.187892,0.192537,0.197812,0.203879,0.210925,0.21857,0.226564,0.234052,0.23838,0.237401,0.231178,0.223215,0.215221,0.186609,0.181403,0.177011,0.172917,0.169745,0.167278,0.165352,0.164539,0.164811,0.166031,0.168091,0.170965,0.174544,0.178638,0.183437,0.188777,0.19439,0.199622,0.204123,0.206455,0.205776,0.20247,0.197562,0.19195,0.201543,0.195623,0.190877,0.186961,0.184073,0.18247,0.182758,0.184073,0.187103,0.190991,0.196052,0.201684,0.207603,0.212665,0.215695,0.215695,0.212263,0.207174,0.211005,0.205278,0.200352,0.197651,0.197206,0.199461,0.203526,0.209343,0.215369,0.219551,0.220295,0.216851,0.216175,0.210349,0.208498,0.212049,0.218025,0.220301,0.162439
11.08.05 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.08.05 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.08.05 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.08.05 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.08.05 05:00,0.045919,0.046355,0.04679,0.047225,0.047689,0.048532,0.04856,0.047805,0.047225,0.04679,0.046355,0.045919,0.045484,0.044728,0.044235,0.043399,0.04257,0.04171,0.040921,0.040195,0.039719,0.039638,0.040114,0.04081,0.041588,0.042447,0.043307,0.044172,0.044694,0.045455,0.047271,0.047687,0.048103,0.04852,0.048963,0.04938,0.04938,0.048963,0.048547,0.048103,0.047687,0.047271,0.046854,0.046438,0.045605,0.044882,0.04405,0.043179,0.042658,0.041907,0.041502,0.041464,0.041858,0.042346,0.043146,0.044023,0.044745,0.045605,0.046411,0.046854,0.058924,0.059398,0.059872,0.060346,0.06082,0.06082,0.060346,0.059872,0.059398,0.058924,0.058102,0.057154,0.056175,0.055102,0.053805,0.052983,0.052509,0.052509,0.053301,0.053805,0.055227,0.056206,0.057154,0.058102,0.053437,0.053844,0.05425,0.054385,0.054657,0.054657,0.054385,0.05425,0.053844,0.053437,0.052731,0.05219,0.051377,0.050563,0.04975,0.049044,0.048638,0.048638,0.049044,0.04975,0.050563,0.051377,0.05219,0.052731,0.058098,0.058527,0.058956,0.059357,0.059357,0.058956,0.058527,0.05807,0.057212,0.056354,0.055496,0.054752,0.054323,0.054611,0.05504,0.055897,0.056783,0.057641,0.061611,0.062085,0.062085,0.062085,0.061639,0.061165,0.060275,0.059384,0.058939,0.058939,0.05983,0.06072,0.063472,0.063927,0.063472,0.062561,0.062077,0.062532,0.047653
12.08.05 06:00,0.97991,1.127938,1.38772,1.842275,2.628285,4.007296,28.587736,24.404601,3.876686,2.553694,1.799602,1.365383,1.114592,0.972356,0.897483,0.85801,0.844946,0.849301,0.858292,0.871356,0.884419,0.888774,0.888774,0.884419,0.871356,0.85801,0.849301,0.846101,0.859446,0.900683,0.834377,0.962069,1.178018,1.546913,2.164507,3.168488,14.093766,13.219288,3.08023,2.109563,1.51333,1.157197,0.949576,0.828839,0.758882,0.725299,0.712536,0.709746,0.71697,0.725299,0.733627,0.737791,0.737791,0.733627,0.725299,0.7167,0.709746,0.712536,0.726403,0.763046,0.769636,0.911496,1.165522,1.599941,2.223926,2.709226,2.439725,1.79773,1.293163,0.981952,0.807862,0.713707,0.670434,0.651475,0.651168,0.656215,0.660954,0.665694,0.664438,0.656215,0.651475,0.651168,0.660954,0.694441,0.542504,0.623299,0.752351,0.93562,1.142478,1.267199,1.202673,1.00828,0.809557,0.660432,0.563104,0.506976,0.4769,0.461709,0.457642,0.457642,0.457642,0.461709,0.461445,0.457642,0.457642,0.457642,0.469843,0.494511,0.482625,0.556099,0.661893,0.772835,0.811995,0.748236,0.635879,0.537527,0.469757,0.435227,0.418123,0.412065,0.411149,0.411149,0.411149,0.413032,0.420808,0.440363,0.441954,0.505403,0.566843,0.572764,0.514596,0.451754,0.409307,0.390196,0.384351,0.383905,0.388714,0.404854,0.414325,0.457053,0.441273,0.398003,0.379314,0.383775,0.300169
12.08.05 07:00,1.729366,1.864329,2.120912,2.593166,3.451176,4.943097,7.363918,33.052092,9.24174,6.498917,4.38227,3.12144,2.411175,2.024266,1.812948,1.700038,1.642866,1.616456,1.604547,1.600193,1.603393,1.604547,1.604547,1.604547,1.604547,1.600193,1.600193,1.604829,1.621965,1.656211,1.492509,1.629903,1.882495,2.354932,3.225952,4.851985,7.84137,174.92417,78.737493,6.678341,4.224168,2.889536,2.172566,1.787013,1.576332,1.464194,1.405355,1.373146,1.360383,1.355115,1.352325,1.355115,1.355115,1.355115,1.355115,1.352325,1.356219,1.363444,1.381474,1.418118,1.40976,1.595201,1.978124,2.757239,4.298152,7.026638,45.927897,6.227285,3.809033,2.50639,1.855223,1.534225,1.377838,1.30295,1.269463,1.254937,1.250197,1.247021,1.246714,1.250197,1.250197,1.2565,1.27546,1.317169,1.020746,1.150876,1.389194,1.815112,2.499133,3.341228,3.706137,3.135712,2.30041,1.684982,1.316533,1.109675,1.000146,0.942676,0.911216,0.89875,0.890616,0.887627,0.886548,0.887627,0.891694,0.89875,0.919087,0.952152,0.944661,1.089337,1.353811,1.742373,2.083475,2.038566,1.661735,1.293204,1.054744,0.927504,0.862608,0.832305,0.816284,0.811995,0.811995,0.819437,0.836594,0.871187,0.895363,1.046713,1.264243,1.374945,1.237241,1.024163,0.881718,0.811374,0.784372,0.775468,0.784372,0.815827,0.864708,0.992128,0.987282,0.856811,0.789447,0.792792,0.63782
12.08.05 08:00,1.928775,2.012357,2.172293,2.458485,2.961221,3.794541,5.076554,6.719464,7.892101,7.497375,5.941554,4.428124,3.364676,2.697367,2.307257,2.089866,1.968247,1.903802,1.873038,1.864329,1.864047,1.864329,1.868684,1.873038,1.869838,1.868684,1.864329,1.861129,1.868402,1.886102,1.551347,1.642395,1.812268,2.119265,2.669423,3.648148,5.343347,8.007937,71.944482,9.70397,6.675642,4.47451,3.13074,2.379083,1.956887,1.724011,1.59605,1.526092,1.488345,1.471418,1.464464,1.464194,1.464194,1.467254,1.464464,1.464194,1.464194,1.467254,1.476956,1.500837,1.45429,1.599941,1.898188,2.509874,3.766374,6.372553,135.557747,261.248576,7.326665,4.224492,2.728493,2.005306,1.652386,1.478296,1.396797,1.355395,1.339612,1.331389,1.331389,1.330132,1.331389,1.336128,1.350655,1.382578,1.090417,1.215138,1.449653,1.892103,2.72226,4.205086,6.235628,57.472878,4.657762,3.001515,2.045295,1.530448,1.256338,1.113743,1.037015,1.000146,0.979545,0.968422,0.964354,0.964354,0.968422,0.975478,0.992011,1.024813,1.067612,1.242591,1.592271,2.233577,3.156791,3.687155,3.089021,2.174385,1.558816,1.225156,1.059034,0.978117,0.938957,0.9218,0.91751,0.9218,0.939235,0.982407,1.073715,1.312325,1.745627,2.16377,2.039711,1.55984,1.201334,1.02,0.944626,0.917913,0.922365,0.965996,1.102254,1.37685,1.450267,1.174464,1.005783,0.987282,0.856709
12.08.05 09:00,2.068093,2.115121,2.203057,2.358639,2.615221,3.027103,3.646513,4.470514,5.381368,5.941554,5.822462,5.105734,4.193052,3.421849,2.874721,2.518576,2.298548,2.167939,2.094502,2.05503,2.03733,2.028621,2.025703,2.028621,2.028621,2.028621,2.025703,2.025703,2.029775,2.041684,1.687367,1.75037,1.857241,2.04377,2.359366,2.886476,3.734492,5.007514,6.592359,7.797029,7.54448,6.087259,4.557794,3.419707,2.687453,2.238629,1.973543,1.816433,1.725385,1.674875,1.646559,1.633797,1.625739,1.621574,1.621574,1.621574,1.624365,1.628529,1.636857,1.653784,1.594894,1.708315,1.922195,2.340523,3.151869,4.713918,7.598491,87.160893,82.658044,7.374063,4.59071,3.087717,2.308601,1.906412,1.698835,1.590154,1.534225,1.510219,1.495999,1.491259,1.491259,1.495999,1.510219,1.538965,1.211071,1.320601,1.523391,1.899974,2.604332,3.936607,6.479666,235.245884,203.976461,6.273665,3.833607,2.55093,1.871503,1.509848,1.312466,1.207003,1.149534,1.11781,1.101541,1.093406,1.093406,1.101541,1.118074,1.150876,1.213703,1.401272,1.777244,2.532921,3.97305,6.067125,6.413052,4.363008,2.76394,1.895628,1.460464,1.242591,1.135661,1.085048,1.063323,1.060449,1.076469,1.122793,1.280871,1.596927,2.265856,3.285567,3.635169,2.730901,1.858087,1.397495,1.19243,1.112605,1.099248,1.144347,1.404456,1.899598,2.249113,1.740021,1.332245,1.241828,1.179061
